도번,LG부품,LG품명,역할,비고
AJR73965602,MJU62789006,"Tube,Capillary Bending",제작동관,
AJR73965602,MJU62789008,"Tube,Capillary Bending",제작동관,
AJR73965602,MJU62922102,"Tube,Connector",제작동관,
AJR73965602,MJU62922104,"Tube,Connector",제작동관,
AJR73965602,MJU62922106,"Tube,Connector",제작동관,
AJR73965602,MJU62922108,"Tube,Connector",제작동관,
AJR73965602,MJU62922110,"Tube,Connector",제작동관,
AJR73965602,MJU62922112,"Tube,Connector",제작동관,
AJR73965602,MJU62922114,"Tube,Connector",제작동관,
AJR73965606,4930A20053A,"Holder,Sensor",반제품,
AJR73965607,4930A20053A,"Holder,Sensor",반제품,
AJR73965701,4930A20053A,"Holder,Sensor",반제품,
AJR73970512,MJU61848906,"Tube,Connector",제작동관,
AJR73970512,MJU61848910,"Tube,Connector",제작동관,
AJR73970512,MJU63031904,"Tube,Suction",제작동관,
AJR73980306,4930A20053A,"Holder,Sensor",반제품,
AJR73980306,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980317,4930A20053A,"Holder,Sensor",반제품,
AJR73980317,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980318,4930A20053A,"Holder,Sensor",반제품,
AJR73980318,4A00114D,"Tube,Connector",제작동관,
AJR73980318,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980318,MJU63067406,"Tube,Connector",제작동관,
AJR73980318,MJU63067506,"Tube,Connector",제작동관,
AJR73980318,MJU63754101,"Tube,Connector",제작동관,
AJR73980320,4930A20053A,"Holder,Sensor",반제품,
AJR73980320,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980322,4930A20053A,"Holder,Sensor",반제품,
AJR73980322,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73980323,4930A20053A,"Holder,Sensor",반제품,
AJR73980323,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73981108,AJJ73640107,Supporter Assembly,반제품,
AJR74062502,EAP30616906,"Coil,Expansion",반제품,
AJR74107911,4930A20053A,"Holder,Sensor",반제품,
AJR74107912,4930A20053A,"Holder,Sensor",반제품,
AJR74107915,4930A20053A,"Holder,Sensor",반제품,
AJR74145401,4930A20053A,"Holder,Sensor",반제품,
AJR74145402,4930A20053A,"Holder,Sensor",반제품,
AJR74162501,4H00049A,"Tube,Pinch Off",제작동관,
AJR74162503,4H00049A,"Tube,Pinch Off",제작동관,
AJR74169701,5211A22074A,"Tube Assembly,Connector",반제품,
AJR74204401,4930A20053A,"Holder,Sensor",반제품,
AJR74205202,4H00049A,"Tube,Pinch Off",제작동관,
AJR74207301,4930A20053A,"Holder,Sensor",반제품,
