도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
AJR30133606,MJU00777610,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2,2,,
AJR30133606,MJU66853321,"Tube,Connector",제작동관,AJR30133602-A-S-1 | AJR30133602-A-S-2,2,,
AJR30133607,MJU66853322,"Tube,Connector",제작동관,AJR30133604-A-S-1 | AJR30133607-A-S-1 | AJR30133604-12-1,3,,
AJR30133701,MJU00776604,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776606,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776607,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776608,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776609,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776610,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776611,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776612,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
AJR30133701,MJU00776614,"Tube,Connector",제작동관,AJR30133701-SUB-1 | AJR30133701-SUB-2,2,,
