품번,품명,유형,사내거래처,매입가(JS제외),매입가출처,견적재료비,비고
MJU63651005-피어싱,"Tube,Connector",사급부품,제이에스,426,제이에스,650,JS만(가격신뢰X)
MJU63706901,Tube Connector,동관,제이에스,6084,제이에스,14526,JS만(가격신뢰X)
MJU63714001,"Tube,Connector",동관,가공반(사내);제이에스,403,가공반(사내),244,
MJU63714101,"Tube,Connector",동관,가공반(사내);제이에스,223,가공반(사내),121,
MJU63748409,"Tube,Connector",사급부품,가공반(사내);제이에스,1181,가공반(사내),1299,
MJU63748506,"Tube,Manifold",사급부품,가공반(사내);제이에스,1748,가공반(사내),1923,
MJU63756101,"Tube,Connector",동관,가공반(사내);제이에스,884,가공반(사내),1798,
MJU63756103,"Tube,Connector",동관,가공반(사내);제이에스,872,가공반(사내),1798,
MJU63787901,"Tube,Connector",동관,제이에스,980,제이에스,647,JS만(가격신뢰X)
MJU63788101,"Tube,Connector",동관,가공반(사내);제이에스,1084,가공반(사내),866,
MJU63788601,"Tube,Connector",동관,제이에스,557,제이에스,350,JS만(가격신뢰X)
MJU64048001,"TUBE, MANIFOLD",사급부품,가공반(사내);제이에스,870,가공반(사내),600,
MJU64170101,"Tube,Connector",동관,가공반(사내);제이에스,1559,가공반(사내),1559,
MJU64170103,"Tube,Connector",동관,가공반(사내);제이에스,630,가공반(사내),630,
MJU64170104,"Tube,Connector",동관,가공반(사내);제이에스,746,가공반(사내),746,
MJU64211601,"Tube,Condenser",동관,가공반(사내);제이에스,593,가공반(사내),487,
MJU64211611,Tube Connector,동관,제이에스,589,제이에스,487,JS만(가격신뢰X)
MJU64388003,"Tube,Connector",동관,가공반(사내);제이에스,5246,가공반(사내),5246,
MJU64388004,"Tube,Connector",동관,가공반(사내);제이에스,5697,가공반(사내),5697,
MJU64388202,"Tube,Connector",동관,가공반(사내);제이에스,876,가공반(사내),876,
MJU64388203,"Tube,Connector",동관,가공반(사내);제이에스,622,가공반(사내),622,
MJU64407201,Tube Connector,동관,가공반(사내);제이에스,314,가공반(사내),618,
