협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
미래정밀,AJR77171201-4-2,"Tube,Connector",일반CU,0.0704,작년(7.5k),559,1491,932,390,601,1550,2482,932,2443
미래정밀,AJR30008101-4-4,"Tube,Connector",일반CU,0.0688,작년(7.5k),546,1456,910,390,600,1536,2446,910,2275
미래정밀,AJR75242802-4-1,"Tube,Connector",일반CU,0.0616,작년(7.5k),489,1304,815,517,464,1470,2285,815,2762
미래정밀,AJR75242806-4-1,"Tube,Connector",일반CU,0.0612,작년(7.5k),486,1296,810,517,423,1426,2236,810,2073
미래정밀,AJR30133702-4-1,Tube Connector,고강도CU,0.0558,올해(20k),419,1229,810,67,316,802,1612,810,1750
미래정밀,AJR77171201-4-9,"Tube,Connector",일반CU,0.0596,작년(7.5k),457,1219,762,390,417,1264,2026,762,2127
미래정밀,AJR30008101-4-3,"Tube,Connector",일반CU,0.0592,작년(7.5k),454,1211,757,390,419,1263,2020,757,2072
미래정밀,AJR74963002-4-1,Tube Connector,일반CU,0.0603,올해(20k),452,1206,754,2308,897,3657,4411,754,4700
미래정밀,AJR77171201-4-10,"Tube,Connector",일반CU,0.0589,작년(7.5k),452,1205,753,390,408,1250,2003,753,2101
미래정밀,AJR74803512-4-1,"Tube,Connector",일반CU,0.0587,작년(7.5k),450,1200,750,1225,918,2593,3343,750,3221
미래정밀,AJR74803545-12-1,Tube Connector,일반CU,0.0549,작년(7.5k),421,1123,702,1245,792,2458,3160,702,3583
미래정밀,AJR77224501-4-1,"Tube,Connector",일반CU,0.1453,올해(20k),412,1098,686,685,332,1429,2115,686,2296
미래정밀,AJR77171201-4-8,"Tube,Connector",일반CU,0.0528,작년(7.5k),405,1080,675,390,405,1200,1875,675,1943
미래정밀,AJR30008101-4-2,"Tube,Connector",일반CU,0.0523,작년(7.5k),401,1069,668,390,406,1197,1865,668,1937
미래정밀,MJU66502907+용접링,"Tube,Connector",고강도CU,0.0262,작년(7.5k),339,994,655,20,148,507,1162,655,857
미래정밀,AJR77171201-4-1,"Tube,Connector",일반CU,0.0486,작년(7.5k),386,1029,643,390,470,1246,1889,643,1782
미래정밀,AJR30008101-4-7,"Tube,Connector",일반CU,0.0486,작년(7.5k),386,1029,643,390,470,1246,1889,643,1732
미래정밀,AJR30007101-9-2,미래 SUB,일반CU,0.0181,작년(7.5k),363,968,605,0,234,597,1202,605,1056
