구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
②시트간스펙충돌,MJU66548901,케이비,,,,,,케이비:Φ6.35 T0.85 L234.0 | 케이비:Φ6.35 T0.85 L61.0
②시트간스펙충돌,MJU66997107,썬텍/케이비,,,,,,케이비:Φ9.52 T0.65 L228.0 | 썬텍:Φ9.52 T0.65 L229.0
②시트간스펙충돌,MJU66932046,썬텍/케이비,,,,,,케이비:Φ6.35 T0.9 L68.0 | 썬텍:Φ6.35 T0.9 L66.0 | 썬텍:Φ6.35 T0.9 L66.0
②시트간스펙충돌,L-TUBE,MTS,,,,,,MTS:Φ19.05 T0.95 L518.0 | MTS:Φ19.05 T0.95 L332.0 | MTS:Φ19.05 T0.95 L365.0 | MTS:Φ19.05 T0.95 L831.0 | MTS:Φ15.88 T0.95 L417.0 | MTS:Φ19.05 T0.95 L442.20000000000005 | MTS:Φ19.05 T0.95 L770.0 | MTS:Φ15.88 T0.95 L452.0 | MTS:Φ15.88 T0.95 L415.0 | MTS:Φ15.88 T0.95 L343.0 | MTS:Φ12.7 T0.75 L493.0 | MTS:Φ19.05 T0.95 L540.0 | MTS:Φ12.7 T0.75 L347.0 | MTS:Φ15.88 T0.95 L452.0 | MTS:Φ15.88 T0.95 L415.0 | MTS:Φ19.05 T0.95 L528.0 | MTS:Φ19.05 T0.95 L508.0 | MTS:Φ19.05 T0.95 L508.0 | MTS:Φ19.05 T0.95 L1025.0 | MTS:Φ12.7 T0.75 L380.0 | MTS:Φ12.7 T0.75 L489.0 | MTS:Φ15.88 T0.95 L447.0 | MTS:Φ19.05 T0.95 L50.0 | MTS:Φ19.05 T0.95 L528.0 | MTS:Φ15.88 T0.95 L723.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ22.22 T1.15 L586.0 | MTS:Φ22.22 T1.15 L635.0 | MTS:Φ15.88 T0.95 L199.0 | MTS:Φ12.7 T0.75 L790.0 | MTS:Φ15.88 T0.95 L392.0 | MTS:Φ12.7 T0.75 L590.0 | MTS:Φ9.52 T0.65 L810.0 | MTS:Φ19.05 T0.95 L45.0 | MTS:Φ15.88 T0.95 L1059.0 | MTS:Φ19.05 T0.95 L713.0 | MTS:Φ15.88 T0.95 L532.0 | MTS:Φ15.88 T0.95 L519.0 | MTS:Φ15.88 T0.95 L670.0 | MTS:Φ15.88 T0.95 L670.0 | MTS:Φ15.88 T0.95 L743.0 | MTS:Φ15.88 T0.95 L625.0 | MTS:Φ19.05 T0.95 L768.0 | MTS:Φ19.05 T0.95 L768.0 | MTS:Φ19.05 T0.95 L768.0 | MTS:Φ19.05 T0.95 L768.0 | MTS:Φ12.7 T0.75 L740.0 | MTS:Φ12.7 T0.75 L740.0 | MTS:Φ12.7 T0.75 L445.0 | MTS:Φ15.88 T0.95 L453.0 | MTS:Φ12.7 T0.75 L415.0 | MTS:Φ15.88 T0.95 L354.0 | MTS:Φ15.88 T0.95 L417.0 | MTS:Φ15.88 T0.95 L453.0 | MTS:Φ15.88 T0.95 L432.0 | MTS:Φ12.7 T0.75 L740.0 | MTS:Φ12.7 T0.75 L740.0 | MTS:Φ15.88 T0.95 L452.0 | MTS:Φ12.7 T0.75 L487.0 | MTS:Φ19.05 T0.95 L789.0 | MTS:Φ15.88 T0.95 L447.0 | MTS:Φ15.88 T0.95 L447.0 | MTS:Φ19.05 T0.95 L770.0 | MTS:Φ15.88 T0.95 L447.0 | MTS:Φ15.88 T0.95 L452.0 | MTS:Φ15.88 T0.95 L50.0 | MTS:Φ15.88 T0.95 L50.0
②시트간스펙충돌,S-TUBE,MTS,,,,,,MTS:Φ19.05 T0.95 L283.0 | MTS:Φ19.05 T0.95 L140.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ19.05 T0.95 L53.0 | MTS:Φ19.05 T0.95 L538.6 | MTS:Φ19.05 T0.95 L771.6 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ19.05 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L447.0 | MTS:Φ15.88 T0.95 L325.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ9.52 T1.45 L40.0 | MTS:Φ34.92 T1.3 L170.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ12.7 T0.75 L551.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ12.7 T0.75 L427.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ12.7 T0.75 L573.0 | MTS:Φ19.05 T0.95 L50.0 | MTS:Φ12.7 T0.75 L150.0 | MTS:Φ19.05 T0.95 L336.0 | MTS:Φ12.7 T0.75 L194.0 | MTS:Φ15.88 T0.95 L52.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ19.05 T0.95 L740.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ12.7 T0.75 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ12.7 T0.75 L280.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ19.05 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0 | MTS:Φ15.88 T0.95 L53.0
②시트간스펙충돌,MJU61937001,MTS,,,,,,MTS:Φ15.88 T0.95 L35.0 | MTS:Φ15.88 T0.95 L415.0
②시트간스펙충돌,MJU31086903,MTS,,,,,,MTS:Φ15.88 T0.95 L770.0 | MTS:Φ15.88 T0.95 L417.0 | MTS:Φ15.88 T0.95 L418.0
②시트간스펙충돌,5210A25929D,MTS,,,,,,MTS:Φ15.88 T0.95 L1502.5 | MTS:Φ15.88 T0.95 L691.0 | MTS:Φ15.88 T0.95 L693.0
②시트간스펙충돌,5210A25929H,MTS,,,,,,MTS:Φ15.88 T0.95 L381.70000000000005 | MTS:Φ15.88 T0.95 L691.0 | MTS:Φ15.88 T0.95 L693.0
②시트간스펙충돌,5210A22153C,MTS,,,,,,MTS:Φ19.05 T0.95 L516.0 | MTS:Φ19.05 T0.95 L520.0
