도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
AJR30012009,MJU66774607,"Tube,Connector",제작동관,
AJR30012009,MJX30152802,"Valve,Reverse",완성부품,
AJR30012010,4A00609A,Cap,완성부품,
AJR30012010,MJU65966728,"Tube,Connector",제작동관,
AJR30012010,MJU66774606,"Tube,Connector",제작동관,
AJR30012010,MJU66774607,"Tube,Connector",제작동관,
AJR30012010,MJX30152802,"Valve,Reverse",완성부품,
AJR30012011,4A00609A,Cap,완성부품,
AJR30012011,MJU65966728,"Tube,Connector",제작동관,
AJR30012011,MJU66774606,"Tube,Connector",제작동관,
AJR30012011,MJU66774607,"Tube,Connector",제작동관,
AJR30012011,MJX30152802,"Valve,Reverse",완성부품,
AJR30012012,4A00609A,Cap,완성부품,
AJR30012013,4A00609A,Cap,완성부품,
AJR30012014,4A00609A,Cap,완성부품,
AJR30012101,3H00815J,Expendables_,용접봉,
AJR30012102,3H00815J,Expendables_,용접봉,
AJR30027701,MJU61971306,"Tube,Coupling",매입동관,
AJR30027705,MJU61971306,"Tube,Coupling",매입동관,
AJR30027710,MJU61971306,"Tube,Coupling",매입동관,
AJR30027713,MJU61971306,"Tube,Coupling",매입동관,
AJR30031801,3H00815G,Expendables_,용접봉,
AJR30031804,3H00815G,Expendables_,용접봉,
AJR30033101,EBD64386506,"Sensor Module,Pressure",전장부품,
AJR30037301,3H01582C,Tie,완성부품,
AJR30037301,MEV39836107,Insulator,단열재,
AJR30037302,MEV39836107,Insulator,단열재,
AJR30037303,EBD60663823,"Sensor,Pressure",전장부품,
AJR30037603,5210A30334L,"Tube,Pinch Off",제작동관,
AJR30037604,5210A30334L,"Tube,Pinch Off",제작동관,
AJR30046402,3H00815J,Expendables_,용접봉,
AJR30060802,MJX63991702,"Valve,Expansion Body",완성부품,
AJR30064401,3H00815J,Expendables_,용접봉,
AJR30065822,MJX61537801,"Valve,Solenoid",전장부품,
AJR30065824,MJX61537801,"Valve,Solenoid",전장부품,
AJR30065901,AJR73665401,"Tube Assembly,Evaporator(Out)",반제품,
AJR30065902,AJR73743901,"Tube Assembly,Evaporator(Out)",반제품,
AJR30073601,3H00815J,Expendables_,용접봉,
AJR30073601,49112009,Expendables_,용접봉,
AJR30073602,3H00815J,Expendables_,용접봉,
AJR30073602,49112009,Expendables_,용접봉,
AJR30073603,3H00815J,Expendables_,용접봉,
AJR30073603,49112009,Expendables_,용접봉,
AJR30073604,3H00815J,Expendables_,용접봉,
AJR30073604,49112009,Expendables_,용접봉,
AJR30074501,1MPC0502018,"Screw,Machine",체결부자재,
AJR30074501,EBD62165601,"Sensor,Pressure",전장부품,
AJR30074601,EBD60663823,"Sensor,Pressure",전장부품,
AJR30075401,RAB34470101,"Tape,Filament",포장재,
AJR30077403,3H00815J,Expendables_,용접봉,
AJR30077403,49112009,Expendables_,용접봉,
AJR30077802,5410A20111L,"Damper,Butyl",완성부품,
AJR30083101,MJU00892201,"Tube,Connector",제작동관,
AJR30083101,MJU00893412,"Tube,Connector",제작동관,
AJR30083101,MJU66466401,"Tube,Connector",제작동관,
AJR30083101,MJX30152801,"Valve,Reverse",완성부품,
AJR30083101,MJX30152802,"Valve,Reverse",완성부품,
AJR30083102,MJU00892201,"Tube,Connector",제작동관,
AJR30083102,MJU00893412,"Tube,Connector",제작동관,
AJR30083102,MJU66466401,"Tube,Connector",제작동관,
AJR30083102,MJX30152801,"Valve,Reverse",완성부품,
AJR30083102,MJX30152802,"Valve,Reverse",완성부품,
AJR30087001,EBD64386506,"Sensor Module,Pressure",전장부품,
AJR30100101,MJR61841701,Tie,완성부품,
AJR30114001,MJR61841701,Tie,완성부품,
AJR30117902,5410A20111L,"Damper,Butyl",완성부품,
AJR30123001,4A00609A,Cap,완성부품,
AJR30125601,MJU66479001,"Tube,Connector",제작동관,
AJR30133602,MJU00777113,"Tube,Connector",제작동관,
AJR30133602,MJU00777609,"Tube,Connector",제작동관,
AJR30133602,MJU00777610,"Tube,Connector",제작동관,
AJR30133602,MJU66853321,"Tube,Connector",제작동관,
AJR30133602,MJX30152802,"Valve,Reverse",완성부품,
AJR30133604,MJU00776712,"Tube,Connector",제작동관,
AJR30133604,MJU66853322,"Tube,Connector",제작동관,
AJR30133604,MJU66853324,"Tube,Connector",제작동관,
AJR30133605,MJU66853321,"Tube,Connector",제작동관,
AJR30133606,MJU00777113,"Tube,Connector",제작동관,
AJR30133606,MJU00777609,"Tube,Connector",제작동관,
AJR30133606,MJU00777610,"Tube,Connector",제작동관,
AJR30133606,MJU66853321,"Tube,Connector",제작동관,
AJR30133606,MJX30152802,"Valve,Reverse",완성부품,
AJR30133607,MJU66853322,"Tube,Connector",제작동관,
