품번,견적유형(Assy/하위),최근생산월,생산건수
AJR74923001-은납,,,
AJR74923002,,,
AJR74923002-은납,,,
AJR74923003,,,
AJR74923003-SUB,,,
AJR74923004,,,
AJR74923004-SUB,,,
AJR74942531,,,
AJR74942547,,,
AJR74942548,,,
AJR74942581,,,
AJR74942617-고압,,,
AJR74942623-고압,,,
AJR74942626-고압,,,
AJR74942627-고압,,,
AJR74942632-고압,,,
AJR74942709-저압,,,
AJR74942724-저압,,,
AJR74942729-저압,,,
AJR74942730-저압,,,
AJR74942735-저압,,,
AJR74942754-저압,,,
AJR74943201,Assy,,
AJR74943202,,,
AJR74943202-은납,,,
AJR74962901,,,
AJR74962901-SUB,,,
AJR74962902,,,
AJR74962902-SUB,,,
AJR74962904,,,
AJR74962904-은납,,,
AJR74962905,,,
AJR74962905-은납,,,
AJR74962907,,,
AJR74962907-SUB,,,
AJR74963001,,,
AJR74963001-은납,,,
AJR74963002,,,
AJR74963002-은납,,,
AJR74963003,,,
AJR74963003-은납,,,
AJR74963101,Assy,,
AJR74963102,,,
AJR74963102-은납,,,
AJR74964701,,,
AJR74983904,,,
AJR74983905,,,
AJR74983907,,,
AJR74983909,,,
AJR74983910,,,
AJR74984202,,,
AJR74984303,Assy,,
AJR74984305,,,
AJR74984403,,,
AJR74984403-SUB1,,,
AJR74984403-SUB2,,,
AJR74984403-SUB3,,,
AJR74985204,,,
AJR75044205,,,
AJR75062906,,,
AJR75062906-SUB,,,
AJR75062907,,,
AJR75062907-SUB,,,
AJR75062911,,,
AJR75062911-SUB,,,
AJR75102405,,,
AJR75102501,,,
AJR75103117,,,
AJR75104018,,,
AJR75104601,,,
AJR75104601-은납,,,
AJR75104701,,,
AJR75104701-은납,,,
AJR75142602,,,
AJR75142602-은납,,,
AJR75142606,,,
AJR75142606-은납,,,
AJR75163202,,,
AJR75163202-은납,,,
AJR75163206,,,
AJR75163206-은납,,,
AJR75242801-고압,,,
AJR75242802-고압,,,
AJR75242815-고압,,,
AJR75242816-고압,,,
AJR75243001-저압,,,
AJR75243006-저압,,,
AJR75243014-저압,,,
AJR75243015-저압,,,
AJR75243021-저압,,,
AJR75243101,,,
AJR75243105,,,
AJR75243118,,,
AJR75243124,,,
AJR75243125,,,
AJR75462802,,,
AJR75462803,,,
AJR75463001,,,
AJR75463001-SUB1,,,
AJR75463001-SUB2,,,
AJR75463001-SUB3,,,
AJR75463002,,,
AJR75463003,,,
AJR75463101,Assy,,
AJR75463110,,,
AJR75463302,Assy,,
AJR75463303,,,
AJR75463503,,,
AJR75463512,,,
AJR75464301,,,
AJR75464301-은납,,,
AJR75464302,,,
AJR75464302-은납,,,
AJR75464602,,,
AJR75482701,,,
AJR75482701-SUB,,,
AJR75482702,,,
AJR75482702-SUB,,,
AJR75483401,Assy,,
AJR75483601,,,
AJR75483602,,,
AJR75483701,Assy,,
AJR75483702,,,
AJR75524701,,,
AJR75544201,,,
AJR75544204,Assy,,
AJR75544501,,,
AJR75545702,,,
AJR75545703,,,
AJR75563401,,,
AJR75563401-은납,,,
AJR75563402,,,
AJR75563402-은납,,,
AJR75563501,Assy,,
AJR75563501-은납,,,
AJR75563502,Assy,,
AJR75563502-은납,,,
AJR75563503,,,
AJR75563504,,,
AJR75563701,,,
AJR75563701-SUB,,,
AJR75563702,,,
AJR75563702-SUB,,,
AJR75604801,,,
