assy,원소재,유형,외경,두께,길이,원소재비,소요량,견적재료비,검산(geom×원),오차%,마커
AJR77182902,MJU66466802,동관,6.35,0.55,246.0,13028.0,1.0,287.1807195048,287.1,0.0,
AJR77182902,MJU66466902,동관,6.35,0.55,228.0,13028.0,10.0,266.1674961264,266.1,0.0,
AJR77182902,MJU66467002,동관,6.35,0.55,279.0,13028.0,1.0,325.7049623652,325.7,0.0,
AJR77182902,RAC30599303,용접봉,,,,21100.0,0.0061318399999999995,129.381824,,,사급가
AJR77182802,MJU66467502,동관,6.35,0.55,317.0,13028.0,1.0,370.0662117196,370.0,0.0,
AJR77182802,MJU66467402,동관,6.35,0.55,280.0,13028.0,1.0,326.872363664,326.8,0.0,
AJR77182802,MJU66467302,동관,6.35,0.55,249.0,13028.0,1.0,290.6829234012,290.6,0.0,
AJR77182802,MJU66467202,동관,6.35,0.55,230.0,13028.0,10.0,268.50229872399996,268.5,0.0,
AJR77182802,MJU65512602,동관,22.22,0.95,,7550.0,1.0,0.0,,,가공 컷팅
AJR77182802,MJU66467202,동관,6.35,0.55,230.0,13028.0,1.0,268.50229872399996,268.5,0.0,
AJR77182802,RAC30599303,용접봉,,,,21100.0,0.00660352,139.334272,,,사급가
AJR77224501,MJU66479701,동관,9.52,0.65,171.0,7575.0,1.0,209.781633715875,209.8,0.0,
