code,kind,phi,thick,length,copper_unit_kg,nparts
MJU00777211,부품,22.22,1.0,275.0,0.163919,
MJU00777401,부품,25.4,1.0,298.0,0.204248,
MJU00777405,부품,22.22,1.0,192.0,0.114445,
MJU00777406,부품,12.7,0.6,178.0,0.0363,
MJU00777501,부품,28.0,1.0,353.0,0.267726,
MJU00777604,부품,22.22,1.0,310.0,0.184782,
MJU00777605,부품,22.22,1.0,181.0,0.107889,
MJU00787901,부품,12.7,0.75,300.0,0.075527,
MJU00787902,부품,12.7,0.75,300.0,0.075527,
MJU00787903,부품,12.7,0.75,84.0,0.021148,
MJU00788001,부품,9.52,0.65,91.0,0.014738,
MJU00788002,부품,9.52,0.65,64.0,0.010365,
MJU007883001,부품,6.35,0.65,215.0,0.022376,
MJU00788302,부품,6.35,0.65,47.0,0.004891,
MJU00788303,부품,6.35,0.65,61.0,0.006348,
MJU00788304,부품,6.35,0.65,98.0,0.010199,
MJU00788305,부품,6.35,0.65,90.0,0.009367,
MJU00788306,부품,6.35,0.65,127.0,0.013217,
MJU00788307,부품,6.35,0.65,98.0,0.010199,
MJU00788308,부품,6.35,0.65,85.0,0.008846,
MJU00788309,부품,6.35,0.65,143.0,0.014883,
MJU00788310,부품,6.35,0.65,130.0,0.01353,
MJU00788401,부품,4.76,0.65,123.0,0.00923,
MJU00788402,부품,4.76,0.65,199.0,0.014933,
MJU00788403,부품,4.76,0.65,124.0,0.009305,
MJU00788404,부품,4.76,0.65,175.0,0.013132,
MJU00788405,부품,4.76,0.65,170.0,0.012757,
MJU007888201,부품,7.0,0.65,76.0,0.008812,
MJU00792302,부품,9.52,0.65,174.0,0.02818,
MJU00792304,부품,9.52,0.65,174.0,0.02818,
MJU00792306,부품,9.52,0.65,216.0,0.034982,
MJU00792308,부품,9.52,0.65,209.0,0.033848,
MJU00792310,부품,9.52,0.65,215.0,0.03482,
MJU00792311,부품,9.52,0.65,110.0,0.017815,
MJU00792312,부품,9.52,0.65,115.0,0.018625,
MJU00792313,부품,9.52,0.65,107.0,0.017329,
MJU00792314,부품,9.52,0.65,106.0,0.017167,
MJU00792315,부품,9.52,0.65,54.0,0.008745,
MJU00792316,부품,9.52,0.65,135.0,0.021864,
MJU00792317,부품,9.52,0.65,64.0,0.010365,
MJU00792318,부품,9.52,0.65,114.0,0.018463,
MJU00792319,부품,9.52,0.65,75.0,0.012146,
MJU00792320,부품,9.52,0.65,115.0,0.018625,
MJU00814201,부품,12.7,0.6,177.0,0.036096,
MJU00855301,부품,9.52,0.55,297.0,0.041159,
MJU00855302,부품,9.52,0.55,283.0,0.039219,
MJU00855305,부품,9.52,0.55,469.0,0.064995,
MJU00855306,부품,9.52,0.55,323.0,0.044762,
MJU00855307,부품,9.52,0.55,227.0,0.031458,
MJU00855308,부품,9.52,0.55,244.0,0.033814,
MJU30069612,부품,12.7,0.75,804.0,0.202412,
MJU30069613,부품,12.7,0.75,726.0,0.182775,
MJU30258901,부품,6.35,0.65,106.0,0.011032,
MJU30497801,부품,6.35,0.65,68.0,0.007077,
MJU30498001,부품,6.35,0.65,112.0,0.011656,
MJU30533101,부품,6.35,0.65,122.0,0.012697,
MJU30588601,부품,4.76,0.65,118.0,0.008855,
MJU30588701,부품,4.76,0.65,80.0,0.006003,
MJU30588801,부품,4.76,0.65,108.0,0.008105,
MJU30588901,부품,4.76,0.65,61.0,0.004578,
MJU30589001,부품,9.52,0.65,196.0,0.031743,
MJU30589101,부품,6.35,0.65,252.0,0.026227,
MJU30589201,부품,6.35,0.65,60.0,0.006244,
MJU31086903,부품,15.88,0.95,770.0,0.306779,
MJU31378608,부품,9.52,0.65,90.0,0.014576,
MJU31417501,부품,15.88,0.95,983.0,0.391641,
MJU31419001,부품,12.7,0.75,535.0,0.13469,
MJU32884701,부품,6.35,0.65,112.0,0.011656,
MJU32884702,부품,6.35,0.65,427.0,0.044439,
MJU32884703,부품,6.35,0.65,128.0,0.013321,
MJU32884704,부품,6.35,0.65,368.0,0.038299,
MJU34242101,부품,19.05,0.95,53.0,0.025599,
MJU34242102,부품,15.88,0.95,53.0,0.021116,
MJU34694005,부품,15.88,0.95,909.0,0.362159,
MJU34694006,부품,15.88,0.95,573.0,0.228292,
MJU34799302,부품,12.7,0.75,376.0,0.09466,
MJU36542608,부품,4.76,0.65,226.0,0.01696,
MJU36542609,부품,4.76,0.65,170.0,0.012757,
MJU36542610,부품,4.76,0.65,320.0,0.024014,
MJU36542611,부품,4.76,0.65,300.0,0.022513,
MJU36542612,부품,4.76,0.65,327.0,0.024539,
MJU36873402,부품,6.35,0.65,362.0,0.037675,
MJU36873403,부품,6.35,0.65,161.0,0.016756,
MJU36873404,부품,6.35,0.65,194.0,0.02019,
MJU36873405,부품,6.35,0.65,225.0,0.023417,
MJU37361101,부품,6.35,0.65,86.0,0.00895,
MJU37361110,부품,6.35,0.65,317.0,0.032991,
MJU37361115,부품,6.35,0.65,88.0,0.009158,
MJU37361117,부품,6.35,0.65,280.0,0.029141,
MJU37361122,부품,6.35,0.65,300.0,0.031222,
MJU37361123,부품,6.35,0.65,208.0,0.021647,
