업체시트,Assy,원소재,사급부품,용접봉,가공비,동소요kg,판가,기존가확정,참조,부품수,flags
대원산업 (3),AJJ75698803,0,70960,30,161,0.0,71151,0,,3,
대원산업 (3),AJJ75698804,0,69101,30,161,0.0,69292,0,,3,
대원산업 (3),AJJ75918509,2128,538,21,1123,0.2774,3807,0,,6,
대원산업 (3),AJJ76418701,0,14301,59,324,0.0,14683,0,,5,
대원산업 (3),AJJ76418702,0,20341,73,325,0.0,20738,0,,5,
대원산업 (3),AJJ76418703,0,21293,76,325,0.0,21694,0,,5,
대원산업 (3),AJJ76418704,0,21049,76,325,0.0,21450,0,,5,
대원산업 (3),AJJ76418705,0,21439,86,326,0.0,21851,0,,5,
대원산업 (3),AJJ76418706,0,20186,76,325,0.0,20587,0,,5,
대원산업 (3),AJJ76418707,0,37969,95,326,0.0,38390,0,,5,
대원산업 (3),AJJ76418720,0,16643,59,360,0.0,17061,0,,3,
대원산업 (3),AJJ76418721,0,22190,73,325,0.0,22587,0,,5,
대원산업 (3),AJJ76418722,0,23842,76,325,0.0,24243,0,,5,
대원산업 (3),AJJ76418723,0,23598,76,325,0.0,23999,0,,5,
대원산업 (3),AJJ76418724,0,23988,86,326,0.0,24400,0,,5,
대원산업 (3),AJJ76418725,0,22735,76,325,0.0,23136,0,,5,
대원산업 (3),AJJ76418727,0,16959,59,324,0.0,17341,0,,5,
대원산업 (3),AJJ76418728,0,22981,73,325,0.0,23378,0,,5,
대원산업 (3),AJJ76418729,0,23933,76,325,0.0,24334,0,,5,
대원산업 (3),AJJ76559001,0,22964,91,461,0.0,23516,0,,6,
대원산업 (3),AJJ76559002,0,29004,105,462,0.0,29570,0,,6,
대원산업 (3),AJJ76559003,0,29956,109,462,0.0,30527,0,,6,
대원산업 (3),AJJ76559004,0,36978,109,462,0.0,37549,0,,6,
대원산업 (3),AJJ76559005,0,34019,123,463,0.0,34604,0,,6,
대원산업 (3),AJJ76559006,0,35272,133,464,0.0,35868,0,,6,
대원산업 (3),AJJ76559007,0,47268,133,464,0.0,47864,0,,6,
대원산업 (3),AJJ76559008,0,50512,139,464,0.0,51115,0,,6,
대원산업 (3),AJJ76559009,0,23073,91,461,0.0,23625,0,,6,
대원산업 (3),AJJ76559010,0,29095,105,462,0.0,29661,0,,6,
대원산업 (3),AJJ76559011,0,30047,109,462,0.0,30618,0,,6,
대원산업 (3),AJJ76559012,0,24906,91,461,0.0,25458,0,,6,
대원산업 (3),AJJ76559013,0,30928,105,462,0.0,31494,0,,6,
대원산업 (3),AJJ76559014,0,31880,109,462,0.0,32451,0,,6,
대원산업 (3),AJJ76559015,0,25110,91,461,0.0,25662,0,,4,
대원산업 (3),AJJ76559016,0,37211,103,462,0.0,37775,0,,4,
대원산업 (3),AJJ76559017,0,36207,103,462,0.0,36771,0,,4,
대원산업 (3),AJJ76559102,0,23013,91,461,0.0,23565,0,,6,
대원산업 (3),AJJ76559103,0,28850,105,462,0.0,29416,0,,6,
대원산업 (3),AJJ76559106,0,36214,133,464,0.0,36810,0,,6,
대원산업 (3),AJJ76602101,0,56,10,111,0.0,177,0,,2,
대원산업 (3),AJJ76602101-12-1,1820,0,0,301,0.241,2120,0,,1,
대원산업 (3),AJJ76617501,0,85839,46,235,0.0,86120,0,,5,
대원산업 (3),AJJ76617502,0,86687,46,235,0.0,86968,0,,6,
대원산업 (3),AJR30008101,0,2340,60,1105,0.0,3504,0,,12,
대원산업 (3),AJR30008101-12-1,0,567,0,0,0.0,567,0,,1,
대원산업 (3),AJR30008101-12-2,0,825,0,0,0.0,825,0,,1,
대원산업 (3),AJR30008101-12-3,0,1089,0,0,0.0,1089,0,,1,
대원산업 (3),AJR30008101-12-4,0,1428,0,0,0.0,1428,0,,1,
대원산업 (3),AJR30008101-12-5,0,1461,0,0,0.0,1461,0,,1,
대원산업 (3),AJR30008101-12-6,0,1696,0,0,0.0,1696,0,,1,
대원산업 (3),AJR30012008,938,3777,73,952,0.1243,5739,0,,4,
대원산업 (3),AJR30012008-9-1,0,3095,0,0,0.0,3095,0,,1,
대원산업 (3),AJR30012101,704,0,0,153,0.0931,857,0,,1,
대원산업 (3),AJR30027701,2158,8248,146,1910,0.2859,12460,0,,6,
대원산업 (3),AJR30027701-12-1,1007,994,0,140,0.1334,2141,0,,2,
대원산업 (3),AJR30027701-12-2,0,6437,146,2341,0.0,8924,0,,7,
대원산업 (3),AJR30027701-12-3,1783,7956,146,1893,0.2362,11776,0,,8,
대원산업 (3),AJR30027702,1619,20480,294,2534,0.2144,24926,0,,9,
대원산업 (3),AJR30027702-12-1,617,7600,142,1963,0.0817,10321,0,,6,
대원산업 (3),AJR30027702-12-2,1619,0,0,402,0.2144,2020,0,,1,
대원산업 (3),AJR30027702-12-3,0,6000,87,1031,0.0,7117,0,,4,
대원산업 (3),AJR30027703,3828,0,0,509,0.5071,4336,0,,2,
대원산업 (3),AJR30027703-12-1,0,22879,325,3827,0.0,27031,0,,9,
대원산업 (3),AJR30027703-12-2,0,5048,50,644,0.0,5741,0,,3,
대원산업 (3),AJR30027703-12-3,4805,4560,218,2997,0.6364,12578,0,,7,
대원산업 (3),AJR30027704,1927,26084,720,5151,0.2552,33880,0,,16,
대원산업 (3),AJR30027704-12-1,2919,0,0,665,0.3866,3584,0,,1,
