parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
5211A25726E,RAC30599327,"Tube Assembly,Suction(Outdoor)",0.0051,2.0,e_item_weld에 부모전무,
5211A29904C,RAC30599301-1,5211A29904C,0.0023,3.0,e_item_weld에 부모전무,
5211A29907A,RAC30599327,5211A29907A,0.0008,1.0,e_item_weld에 부모전무,
5211A29907A,RAC30599301-1,5211A29907A,0.0083,11.0,e_item_weld에 부모전무,
5425AP7108K,RAC30599301-1,"Tube Assembly,Capillary",0.0201,30.0,e_item_weld에 부모전무,
5425AP7108R,RAC30599301-1,"Tube Assembly,Capillary",0.02085,31.0,e_item_weld에 부모전무,
AAB73230902-3,RAC30599301-1,MTS SUB,0.0029,2.0,e_item_weld에 부모전무,
ADM73210506,RAC30599328,판형 Assembly(알파라발),0.0171,4.0,e_item_weld에 부모전무,
ADM73210508,RAC30599328,판형 Assembly(스웹),0.0171,4.0,e_item_weld에 부모전무,
ADM73210510,RAC30599328,Exchanger Assembly,0.0172,4.0,e_item_weld에 부모전무,
ADM73210511,RAC30599328,판형 Assembly(알파라발),0.0171,4.0,e_item_weld에 부모전무,
ADM73210515,RAC30599328,판형 Assembly(동일),0.0171,4.0,e_item_weld에 부모전무,
ADM74930503,RAC30599328,판형 열교환기,0.0171,4.0,e_item_weld에 부모전무,
ADM74930506,RAC30599328,판형 열교환기(스웹),0.0171,4.0,e_item_weld에 부모전무,
ADM74930507,RAC30599328,Exchanger Assembly,0.0171,4.0,e_item_weld에 부모전무,
ADM74930511,RAC30599328,판형 Assembly(동일),0.0171,4.0,e_item_weld에 부모전무,
AEG74589804,RAC30599328,히터탱크,0.00705,1.0,e_item_weld에 부모전무,
AEG74589804(신창),RAC30599328,히터탱크,0.00705,1.0,e_item_weld에 부모전무,
AEG74589806,RAC30599328,히터탱크,0.00705,1.0,e_item_weld에 부모전무,
AFY74209501,RAC30599327,Muffler Assembly,0.003,2.0,e_item_weld에 부모전무,
AJJ73679204,RAC30599327,SUB ASSY,0.0047,6.0,e_item_weld에 부모전무,
AJJ73679204,RAC30599301-1,SUB ASSY,0.00937,11.0,e_item_weld에 부모전무,
AJJ73679204-12-1,RAC30599301-1,SUB ASSY,0.0016,2.0,e_item_weld에 부모전무,
AJJ73679204-14-1,RAC30599301-1,SUB ASSY,0.0016,2.0,e_item_weld에 부모전무,
AJJ73799402,RAC30599301-1,Supporter Assembly,0.0086,9.0,e_item_weld에 부모전무,
AJJ73898629,RAC30599301-1,Supporter Assembly,0.002,2.0,e_item_weld에 부모전무,
AJJ74498301-S3-2,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJJ74498305-S3-2,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJJ74498305-S3-3,RAC30599301-1,사내 SUB,0.0012,1.0,e_item_weld에 부모전무,
AJJ74498305-S3-4,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJJ74578314,RAC30599301-1,Supporter Assembly,0.00498,4.0,e_item_weld에 부모전무,
AJJ74578316,RAC30599301-1,Supporter Assembly,0.0042,3.0,e_item_weld에 부모전무,
AJJ74578326,RAC30599301-1,Supporter Assembly,0.0018,1.0,e_item_weld에 부모전무,
AJJ74578326-S3-2,RAC30599301-1,사내 SUB,0.0024,2.0,e_item_weld에 부모전무,
AJJ75358421,RAC30599301-1,Supporter Assembly,0.00795,2.0,e_item_weld에 부모전무,
AJJ75358423,RAC30599301-1,Supporter Assembly,0.00795,2.0,e_item_weld에 부모전무,
AJJ75918402,RAC30599301-1,Supporter Assembly,0.00158,2.0,e_item_weld에 부모전무,
AJJ76238401,RAC30599301-1,Supporter Assembly,0.00499,6.0,e_item_weld에 부모전무,
AJL74852201,RAC30599327,"Tank Assembly,Oil",0.0016,2.0,e_item_weld에 부모전무,
AJL74852201,RAC30599301-1,"Tank Assembly,Oil",0.0016,2.0,e_item_weld에 부모전무,
AJR30028405,RAC30599327,Tube Assembly,0.01125,2.0,e_item_weld에 부모전무,
AJR30028409,RAC30599327,Tube Assembly,0.0099,2.0,e_item_weld에 부모전무,
AJR30029602-S1-1,RAC30599327,사내 SUB,0.0024,3.0,e_item_weld에 부모전무,
